S.No.,start,end,president
1,"April 30, 1789","March 4, 1797","George Washington"
2,"March 4, 1797","March 4, 1801","John Adams"
3,"March 4, 1801","March 4, 1809","Thomas Jefferson"
4,"March 4, 1809","March 4, 1817","James Madison"
5,"March 4, 1817","March 4, 1825","James Monroe"
6,"March 4, 1825","March 4, 1829","John Quincy Adams"
7,"March 4, 1829","March 4, 1837","Andrew Jackson"
8,"March 4, 1837","March 4, 1841","Martin Van Buren"
9,"March 4, 1841","April 4, 1841","William Henry Harrison"
10,"April 4, 1841","March 4, 1845","John Tyler"
11,"March 4, 1845","March 4, 1849","James K. Polk"
12,"March 4, 1849","July 9, 1850","Zachary Taylor"
13,"July 9, 1850","March 4, 1853","Millard Fillmore"
14,"March 4, 1853","March 4, 1857","Franklin Pierce"
15,"March 4, 1857","March 4, 1861","James Buchanan"
16,"March 4, 1861","April 15, 1865","Abraham Lincoln"
17,"April 15, 1865","March 4, 1869","Andrew Johnson"
18,"March 4, 1869","March 4, 1877","Ulysses S. Grant"
19,"March 4, 1877","March 4, 1881","Rutherford B. Hayes"
20,"March 4, 1881","September 19, 1881","James A. Garfield"
21,"September 19, 1881","March 4, 1885","Chester A. Arthur"
22,"March 4, 1885","March 4, 1889","Grover Cleveland"
23,"March 4, 1889","March 4, 1893","Benjamin Harrison"
24,"March 4, 1893","March 4, 1897","Grover Cleveland"
25,"March 4, 1897","September 14, 1901","William McKinley"
26,"September 14, 1901","March 4, 1909","Theodore Roosevelt"
27,"March 4, 1909","March 4, 1913","William Howard Taft"
28,"March 4, 1913","March 4, 1921","Woodrow Wilson"
29,"March 4, 1921","August 2, 1923","Warren G. Harding"
30,"August 2, 1923","March 4, 1929","Calvin Coolidge"
31,"March 4, 1929","March 4, 1933","Herbert Hoover"
32,"March 4, 1933","January 20, 1941","Franklin D. Roosevelt"
33,"April 12, 1945","January 20, 1953","Harry S. Truman"
34,"January 20, 1953","January 20, 1961","Dwight D. Eisenhower"
35,"January 20, 1961","November 22, 1963","John F. Kennedy"
36,"November 22, 1963","January 20, 1969","Lyndon B. Johnson"
37,"January 20, 1969","August 9, 1974","Richard Nixon"
38,"August 9, 1974","January 20, 1977","Gerald Ford"
39,"January 20, 1977","January 20, 1981","Jimmy Carter"
40,"January 20, 1981","January 20, 1989","Ronald Reagan"
41,"January 20, 1989","January 20, 1993","George H. W. Bush"
42,"January 20, 1993","January 20, 2001","Bill Clinton"
43,"January 20, 2001","January 20, 2009","George W. Bush"
44,"January 20, 2009",,"Barack Obama"
45,"January 20, 2017",,"Donald Trump"
